;rooms;bathrooms;value_price_clp;value_price_currency_clp;value_price_uf;value_price_currency_uf;parking;url;type_action;type_property;type_province;latitude;longitude;page;region;type_searching;type_house;date_publish;code_publication;img_element;Unnamed: 0
0;3.0;3.0;2.100.000;$;;;;https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/las-condes/departamento/geronimo-de-alderete-con-kennedy/12719454;Arriendo Mensual;Departamento;Las Condes;;;604;region-metropolitana-de-santiago-rm;arriendo-mensual;departamento;14/03/2023;12719454;https://cf.chilepropiedades.cl/imagenes/publicacion/arriendo-mensual/departamento/las-condes/0/bdc0f0bec3d34d2aa47eac9b798627cc.jpeg;
1;1.0;1.0;400.000;$;;;;https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/santiago/departamento/jose-victorino-lastarrias/12416143;Arriendo Mensual;Departamento;Santiago;;;604;region-metropolitana-de-santiago-rm;arriendo-mensual;departamento;09/03/2023;12416143;https://cf.chilepropiedades.cl/imagenes/publicacion/arriendo-mensual/departamento/santiago/0/a73b1e0570ab42ef877e932d81fc7380.jpeg;
2;1.0;1.0;;;17.0;UF;;https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/providencia/departamento/antonio-bellet-av-providencia/12408886;Arriendo Mensual;Departamento;Providencia;;;604;region-metropolitana-de-santiago-rm;arriendo-mensual;departamento;09/03/2023;12408886;https://cf.chilepropiedades.cl/imagenes/publicacion/arriendo-mensual/departamento/providencia/0/ad15b37c70c34693ab802dbec957faa9.jpeg;
3;1.0;1.0;;;18.0;UF;;https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/providencia/departamento/metro-los-leones/12408738;Arriendo Mensual;Departamento;Providencia;;;604;region-metropolitana-de-santiago-rm;arriendo-mensual;departamento;09/03/2023;12408738;https://cf.chilepropiedades.cl/imagenes/publicacion/arriendo-mensual/departamento/providencia/0/df34c31a10d846d5b02e318c33dc31ce.jpeg;
4;1.0;1.0;;;17.0;UF;;https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/providencia/departamento/metro-los-leones/12408720;Arriendo Mensual;Departamento;Providencia;;;604;region-metropolitana-de-santiago-rm;arriendo-mensual;departamento;09/03/2023;12408720;https://cf.chilepropiedades.cl/imagenes/publicacion/arriendo-mensual/departamento/providencia/0/d80754c70a4a47d4ac96282b6d8e8c49.jpeg;
5;4.0;4.0;;;86.0;UF;4.0;https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/vitacura/departamento/las-hualtatas-san-damian/12401955;Arriendo Mensual;Departamento;Vitacura;;;604;region-metropolitana-de-santiago-rm;arriendo-mensual;departamento;09/03/2023;12401955;https://cf.chilepropiedades.cl/imagenes/publicacion/arriendo-mensual/departamento/vitacura/0/c93269114491444b9bbc5009e655836e.jpeg;
6;5.0;5.0;;;80.0;UF;3.0;https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/las-condes/departamento/san-damian-camino-la-vina/12369868;Arriendo Mensual;Departamento;Las Condes;;;604;region-metropolitana-de-santiago-rm;arriendo-mensual;departamento;09/03/2023;12369868;https://cf.chilepropiedades.cl/imagenes/publicacion/arriendo-mensual/departamento/las-condes/0/eec3ada4b7e344e29eccdd5e649886bf.jpeg;
7;2.0;1.0;;;10.0;UF;;https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/la-cisterna/departamento/metro-lo-ovalle/11168014;Arriendo Mensual;Departamento;La Cisterna;;;604;region-metropolitana-de-santiago-rm;arriendo-mensual;departamento;08/03/2023;11168014;https://cf.chilepropiedades.cl/imagenes/publicacion/arriendo-mensual/departamento/la-cisterna/0/1ff473d46d6641d397d5c440e73f37fc.jpeg;
8;2.0;1.0;;;13.0;UF;;https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/santiago/departamento/metro-universidad-de-chile/11168247;Arriendo Mensual;Departamento;Santiago;;;604;region-metropolitana-de-santiago-rm;arriendo-mensual;departamento;08/03/2023;11168247;https://cf.chilepropiedades.cl/imagenes/publicacion/arriendo-mensual/departamento/santiago/0/903ef39e78344c4980fcf137b7814b62.jpeg;
9;2.0;1.0;;;11.0;UF;;https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/la-cisterna/departamento/metro-lo-ovalle/11168033;Arriendo Mensual;Departamento;La Cisterna;;;605;region-metropolitana-de-santiago-rm;arriendo-mensual;departamento;08/03/2023;11168033;https://cf.chilepropiedades.cl/imagenes/publicacion/arriendo-mensual/departamento/la-cisterna/0/f98566ad3be54b81ab6cf81b601e3906.jpeg;
10;4.0;5.0;;;150.0;UF;4.0;https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/las-condes/departamento/geronimo-de-alderete/12323554;Arriendo Mensual;Departamento;Las Condes;;;605;region-metropolitana-de-santiago-rm;arriendo-mensual;departamento;08/03/2023;12323554;https://cf.chilepropiedades.cl/imagenes/publicacion/arriendo-mensual/departamento/las-condes/0/177f6850db92481d9a5cde5089410caf.jpeg;
11;2.0;2.0;700.000;$;;;;https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/santiago/departamento/alameda-lord-cochrane/11146585;Arriendo Mensual;Departamento;Santiago;;;605;region-metropolitana-de-santiago-rm;arriendo-mensual;departamento;08/03/2023;11146585;https://cf.chilepropiedades.cl/imagenes/publicacion/arriendo-mensual/departamento/santiago/0/81c1962685014af5acbab6b281b52323.jpeg;
12;1.0;1.0;;;9.0;UF;;https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/santiago/departamento/san-pablo/11168119;Arriendo Mensual;Departamento;Santiago;;;605;region-metropolitana-de-santiago-rm;arriendo-mensual;departamento;08/03/2023;11168119;https://cf.chilepropiedades.cl/imagenes/publicacion/arriendo-mensual/departamento/santiago/0/8aa0b41ac90147fe879ac39e2b355c90.jpeg;
13;1.0;1.0;1.680.000;$;;;;https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/lo-barnechea/departamento/mall-vivo-los-trapenses/12293036;Arriendo Mensual;Departamento;Lo Barnechea;;;605;region-metropolitana-de-santiago-rm;arriendo-mensual;departamento;08/03/2023;12293036;https://cf.chilepropiedades.cl/imagenes/publicacion/arriendo-mensual/departamento/lo-barnechea/0/3b732d12a4284ce1a28591e8525c5303.jpeg;
